DAS,X1,X2,Y1,Y2,pembagi
kab_001,58,90,76,110,4
kab_002,93,123,109,136,4
kab_003,13,57,24,62,4
kab_004,28,67,51,97,4
kab_005,111,160,127,195,4
kab_006,118,175,185,216,4
kab_007,150,179,88,121,4
kab_008,77,133,66,106,4
kab_009,124,166,126,169,4
kab_010,127,166,52,107,4
kab_011,103,141,51,78,4
kab_012,584,607,574,617,4
kab_013,253,292,316,339,4
kab_014,1454,1522,720,743,4
kab_015,218,265,155,188,4
kab_016,2148,2264,542,641,4
kab_017,1018,1028,726,757,4
kab_018,1030,1057,416,442,4
kab_019,627,662,655,680,4
kab_020,623,652,648,670,4
kab_021,1357,1438,335,396,4
kab_022,1394,1443,371,402,4
kab_023,1416,1474,386,427,4
kab_024,548,639,389,462,4
kab_025,519,556,389,423,4
kab_026,558,620,436,472,4
kab_027,551,619,421,451,4
kab_028,898,922,658,676,4
kab_029,1026,1038,721,741,4
kab_030,989,1045,456,501,4
kab_031,732,761,673,692,4
kab_032,1257,1270,582,594,4
kab_033,775,791,702,716,4
kab_034,466,544,395,473,4
kab_035,708,737,676,698,4
kab_036,956,995,708,754,4
kab_037,981,1008,440,491,4
kab_038,994,1038,377,445,4
kab_039,1010,1037,394,435,4
kab_040,987,1057,316,388,4
kab_041,1243,1256,517,555,4
kab_042,748,768,657,675,4
kab_043,388,439,381,433,4
kab_044,224,253,142,164,4
kab_045,612,630,610,639,4
kab_046,619,664,440,483,4
kab_047,651,709,439,505,4
kab_048,1504,1525,762,785,4
kab_049,93,131,65,86,4
kab_050,312,390,208,269,4
kab_051,699,772,237,289,4
kab_052,404,429,522,543,4
kab_053,374,396,488,509,4
kab_054,316,386,450,591,4
kab_055,1073,1217,186,266,4
kab_056,2003,2100,348,382,4
kab_057,1152,1232,718,759,4
kab_058,475,667,235,310,4
kab_059,80,111,50,71,4
kab_060,862,889,710,733,4
kab_061,819,846,656,684,4
kab_062,1369,1398,268,295,4
kab_063,584,626,629,654,4
kab_064,835,873,663,688,4
kab_065,1446,1487,263,293,4
kab_066,1438,1489,283,300,4
kab_067,1481,1500,266,293,4
kab_068,1419,1452,262,287,4
kab_069,1337,1373,533,586,4
kab_070,945,977,702,721,4
kab_071,1249,1288,525,572,4
kab_072,1417,1443,274,300,4
kab_073,2249,2315,565,676,4
kab_074,783,808,671,696,4
kab_075,699,725,652,683,4
kab_076,986,1038,717,734,4
kab_077,1262,1289,578,598,4
kab_078,1063,1164,134,210,4
kab_079,336,391,370,410,4
kab_080,1308,1375,248,281,4
kab_081,1569,1628,467,506,4
